company,job_link,company_link,job_title
Cinnamon AI Taiwan Inc. ,https://www.yourator.co/companies/Cinnamon/jobs/7266,https://www.yourator.co/companies/Cinnamon,AI Researcher
Cinnamon AI Taiwan Inc. ,https://www.yourator.co/companies/Cinnamon/jobs/11303,https://www.yourator.co/companies/Cinnamon,AI Developer
SYSTEX 精誠資訊,https://www.yourator.co/companies/systex/jobs/11260,https://www.yourator.co/companies/systex,Data Engineer(MSSQL)
Vizuro 維曙智能科技,https://www.yourator.co/companies/Vizuro/jobs/12347,https://www.yourator.co/companies/Vizuro,資料工程師
MoBagel 行動貝果,https://www.yourator.co/companies/MoBagel/jobs/6229,https://www.yourator.co/companies/MoBagel,Senior Algorithm Engineer (資深演算法工程師)
MoBagel 行動貝果,https://www.yourator.co/companies/MoBagel/jobs/7820,https://www.yourator.co/companies/MoBagel,Senior Software Engineer (資深軟體工程師)
愛酷智能科技AccuHit,https://www.yourator.co/companies/AccuHit/jobs/12175,https://www.yourator.co/companies/AccuHit,AI智能演算法工程師 
NETBASE QUID,https://www.yourator.co/companies/Netbase/jobs/11259,https://www.yourator.co/companies/Netbase,Data Quality Engineer
aifian,https://www.yourator.co/companies/aifian/jobs/11567,https://www.yourator.co/companies/aifian,資料科學家 Data Scientist
PowerArena,https://www.yourator.co/companies/Powerarena/jobs/8355,https://www.yourator.co/companies/Powerarena,資料科學家(Data Scientist)
thingnario ( 慧景科技 ),https://www.yourator.co/companies/thingnario/jobs/9121,https://www.yourator.co/companies/thingnario,Junior Data Scientist / ML engineer
thingnario ( 慧景科技 ),https://www.yourator.co/companies/thingnario/jobs/9122,https://www.yourator.co/companies/thingnario,Machine Learning intern
